categoryName,trending_date,country,count
Autos & Vehicles,2020-09-10 00:00:00+00:00,Japan,4
Autos & Vehicles,2020-09-10 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-10 00:00:00+00:00,Russia,9
Autos & Vehicles,2020-09-10 00:00:00+00:00,South Korea,3
Autos & Vehicles,2020-09-10 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-09-10 00:00:00+00:00,United States,4
Autos & Vehicles,2020-09-11 00:00:00+00:00,Brazil,4
Autos & Vehicles,2020-09-11 00:00:00+00:00,Canada,3
Autos & Vehicles,2020-09-11 00:00:00+00:00,France,7
Autos & Vehicles,2020-09-11 00:00:00+00:00,Germany,7
Autos & Vehicles,2020-09-11 00:00:00+00:00,India,2
Autos & Vehicles,2020-09-11 00:00:00+00:00,Japan,6
Autos & Vehicles,2020-09-11 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-11 00:00:00+00:00,Russia,9
Autos & Vehicles,2020-09-11 00:00:00+00:00,South Korea,3
Autos & Vehicles,2020-09-11 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-09-11 00:00:00+00:00,United States,4
Autos & Vehicles,2020-09-12 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-09-12 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-09-12 00:00:00+00:00,France,6
Autos & Vehicles,2020-09-12 00:00:00+00:00,Germany,8
Autos & Vehicles,2020-09-12 00:00:00+00:00,India,3
Autos & Vehicles,2020-09-12 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-09-12 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-12 00:00:00+00:00,Russia,7
Autos & Vehicles,2020-09-12 00:00:00+00:00,South Korea,3
Autos & Vehicles,2020-09-12 00:00:00+00:00,United Kingdom,6
Autos & Vehicles,2020-09-12 00:00:00+00:00,United States,6
Autos & Vehicles,2020-09-13 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-09-13 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-09-13 00:00:00+00:00,France,6
Autos & Vehicles,2020-09-13 00:00:00+00:00,Germany,7
Autos & Vehicles,2020-09-13 00:00:00+00:00,India,3
Autos & Vehicles,2020-09-13 00:00:00+00:00,Japan,7
Autos & Vehicles,2020-09-13 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-13 00:00:00+00:00,Russia,15
Autos & Vehicles,2020-09-13 00:00:00+00:00,South Korea,3
Autos & Vehicles,2020-09-13 00:00:00+00:00,United Kingdom,4
Autos & Vehicles,2020-09-13 00:00:00+00:00,United States,5
Autos & Vehicles,2020-09-14 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-09-14 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-09-14 00:00:00+00:00,France,7
Autos & Vehicles,2020-09-14 00:00:00+00:00,Germany,5
Autos & Vehicles,2020-09-14 00:00:00+00:00,India,3
Autos & Vehicles,2020-09-14 00:00:00+00:00,Japan,7
Autos & Vehicles,2020-09-14 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-14 00:00:00+00:00,Russia,18
Autos & Vehicles,2020-09-14 00:00:00+00:00,South Korea,2
Autos & Vehicles,2020-09-14 00:00:00+00:00,United Kingdom,4
Autos & Vehicles,2020-09-14 00:00:00+00:00,United States,4
Autos & Vehicles,2020-09-15 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-09-15 00:00:00+00:00,Canada,4
Autos & Vehicles,2020-09-15 00:00:00+00:00,France,4
Autos & Vehicles,2020-09-15 00:00:00+00:00,Germany,7
Autos & Vehicles,2020-09-15 00:00:00+00:00,India,3
Autos & Vehicles,2020-09-15 00:00:00+00:00,Japan,8
Autos & Vehicles,2020-09-15 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-09-15 00:00:00+00:00,Russia,17
Autos & Vehicles,2020-09-15 00:00:00+00:00,South Korea,4
Autos & Vehicles,2020-09-15 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-09-15 00:00:00+00:00,United States,4
Autos & Vehicles,2020-09-16 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-09-16 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-09-16 00:00:00+00:00,France,5
Autos & Vehicles,2020-09-16 00:00:00+00:00,Germany,8
Autos & Vehicles,2020-09-16 00:00:00+00:00,India,2
Autos & Vehicles,2020-09-16 00:00:00+00:00,Japan,7
Autos & Vehicles,2020-09-16 00:00:00+00:00,Mexico,2
